Name, Default Value, Allowed Values, Modifiable, Source, Apply Type, Data Type, Description
"character_set_client",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,cp1256,cp1257,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set for statements that arrive from the client."
"character_set_connection",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used for literals that do not have a character set introducer and for number-to-string conversion."
"character_set_database",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used by the default database."
"character_set_filesystem",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The file system character set."
"character_set_results",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The character set used for returning query results to the client."
"character_set_server",,"big5,dec8,cp850,hp8,koi8r,latin1,latin2,swe7,ascii,ujis,sjis,hebrew,tis620,euckr,koi8u,gb2312,greek,cp1250,gbk,latin5,armscii8,utf8,ucs2,cp866,keybcs2,macce,macroman,cp852,latin7,utf8mb4,cp1251,utf16,cp1256,cp1257,utf32,binary,geostd8,cp932,eucjpms",true,"engine-default","dynamic","string","The server's default character set."
"check_proxy_users",,"0,1",true,"engine-default","dynamic","boolean","Controls whether the mysql_native_password and sha256_password built-in authentication plugins support proxy users."
"collation_connection",,"big5_chinese_ci,big5_bin,dec8_swedish_ci,dec8_bin,cp850_general_ci,cp850_bin,hp8_english_ci,hp8_bin,koi8r_general_ci,koi8r_bin,latin1_german1_ci,latin1_swedish_ci,latin1_danish_ci,latin1_german2_ci,latin1_bin,latin1_general_ci,latin1_general_cs,latin1_spanish_ci,latin2_czech_cs,latin2_general_ci,latin2_hungarian_ci,latin2_croatian_ci,latin2_bin,swe7_swedish_ci,swe7_bin,ascii_general_ci,ascii_bin,ujis_japanese_ci,ujis_bin,sjis_japanese_ci,sjis_bin,hebrew_general_ci,hebrew_bin,tis620_thai_ci,tis620_bin,euckr_korean_ci,euckr_bin,koi8u_general_ci,koi8u_bin,gb2312_chinese_ci,gb2312_bin,greek_general_ci,greek_bin,cp1250_general_ci,cp1250_czech_cs,cp1250_croatian_ci,cp1250_bin,cp1250_polish_ci,gbk_chinese_ci,gbk_bin,latin5_turkish_ci,latin5_bin,armscii8_general_ci,armscii8_bin,utf8_general_ci,utf8_bin,utf8_unicode_ci,utf8_icelandic_ci,utf8_latvian_ci,utf8_romanian_ci,utf8_slovenian_ci,utf8_polish_ci,utf8_estonian_ci,utf8_spanish_ci,utf8_swedish_ci,utf8_turkish_ci,utf8_czech_ci,utf8_danish_ci,utf8_lithuanian_ci,utf8_slovak_ci,utf8_spanish2_ci,utf8_roman_ci,utf8_persian_ci,utf8_esperanto_ci,utf8_hungarian_ci,utf8_sinhala_ci,ucs2_general_ci,ucs2_bin,ucs2_unicode_ci,ucs2_icelandic_ci,ucs2_latvian_ci,ucs2_romanian_ci,ucs2_slovenian_ci,ucs2_polish_ci,ucs2_estonian_ci,ucs2_spanish_ci,ucs2_swedish_ci,ucs2_turkish_ci,ucs2_czech_ci,ucs2_danish_ci,ucs2_lithuanian_ci,ucs2_slovak_ci,ucs2_spanish2_ci,ucs2_roman_ci,ucs2_persian_ci,ucs2_esperanto_ci,ucs2_hungarian_ci,ucs2_sinhala_ci,cp866_general_ci,cp866_bin,keybcs2_general_ci,keybcs2_bin,macce_general_ci,macce_bin,macroman_general_ci,macroman_bin,cp852_general_ci,cp852_bin,latin7_estonian_cs,latin7_general_ci,latin7_general_cs,latin7_bin,utf8mb4_general_ci,utf8mb4_bin,utf8mb4_unicode_ci,utf8mb4_icelandic_ci,utf8mb4_latvian_ci,utf8mb4_romanian_ci,utf8mb4_slovenian_ci,utf8mb4_polish_ci,utf8mb4_estonian_ci,utf8mb4_spanish_ci,utf8mb4_swedish_ci,utf8mb4_turkish_ci,utf8mb4_czech_ci,utf8mb4_danish_ci,utf8mb4_lithuanian_ci,utf8mb4_slovak_ci,utf8mb4_spanish2_ci,utf8mb4_roman_ci,utf8mb4_persian_ci,utf8mb4_esperanto_ci,utf8mb4_hungarian_ci,utf8mb4_sinhala_ci,cp1251_bulgarian_ci,cp1251_ukrainian_ci,cp1251_bin,cp1251_general_ci,cp1251_general_cs,utf16_general_ci,utf16_bin,utf16_unicode_ci,utf16_icelandic_ci,utf16_latvian_ci,utf16_romanian_ci,utf16_slovenian_ci,utf16_polish_ci,utf16_estonian_ci,utf16_spanish_ci,utf16_swedish_ci,utf16_turkish_ci,utf16_czech_ci,utf16_danish_ci,utf16_lithuanian_ci,utf16_slovak_ci,utf16_spanish2_ci,utf16_roman_ci,utf16_persian_ci,utf16_esperanto_ci,utf16_hungarian_ci,utf16_sinhala_ci,cp1256_general_ci,cp1256_bin,cp1257_lithuanian_ci,cp1257_bin,cp1257_general_ci,utf32_general_ci,utf32_bin,utf32_unicode_ci,utf32_icelandic_ci,utf32_latvian_ci,utf32_romanian_ci,utf32_slovenian_ci,utf32_polish_ci,utf32_estonian_ci,utf32_spanish_ci,utf32_swedish_ci,utf32_turkish_ci,utf32_czech_ci,utf32_danish_ci,utf32_lithuanian_ci,utf32_slovak_ci,utf32_spanish2_ci,utf32_roman_ci,utf32_persian_ci,utf32_esperanto_ci,utf32_hungarian_ci,utf32_sinhala_ci,binary,geostd8_general_ci,geostd8_bin,cp932_japanese_ci,cp932_bin,eucjpms_japanese_ci,eucjpms_bin",true,"engine-default","dynamic","string","The collation of the connection character set."
"collation_server",,"big5_chinese_ci,big5_bin,dec8_swedish_ci,dec8_bin,cp850_general_ci,cp850_bin,hp8_english_ci,hp8_bin,koi8r_general_ci,koi8r_bin,latin1_german1_ci,latin1_swedish_ci,latin1_danish_ci,latin1_german2_ci,latin1_bin,latin1_general_ci,latin1_general_cs,latin1_spanish_ci,latin2_czech_cs,latin2_general_ci,latin2_hungarian_ci,latin2_croatian_ci,latin2_bin,swe7_swedish_ci,swe7_bin,ascii_general_ci,ascii_bin,ujis_japanese_ci,ujis_bin,sjis_japanese_ci,sjis_bin,hebrew_general_ci,hebrew_bin,tis620_thai_ci,tis620_bin,euckr_korean_ci,euckr_bin,koi8u_general_ci,koi8u_bin,gb2312_chinese_ci,gb2312_bin,greek_general_ci,greek_bin,cp1250_general_ci,cp1250_czech_cs,cp1250_croatian_ci,cp1250_bin,cp1250_polish_ci,gbk_chinese_ci,gbk_bin,latin5_turkish_ci,latin5_bin,armscii8_general_ci,armscii8_bin,utf8_general_ci,utf8_bin,utf8_unicode_ci,utf8_icelandic_ci,utf8_latvian_ci,utf8_romanian_ci,utf8_slovenian_ci,utf8_polish_ci,utf8_estonian_ci,utf8_spanish_ci,utf8_swedish_ci,utf8_turkish_ci,utf8_czech_ci,utf8_danish_ci,utf8_lithuanian_ci,utf8_slovak_ci,utf8_spanish2_ci,utf8_roman_ci,utf8_persian_ci,utf8_esperanto_ci,utf8_hungarian_ci,utf8_sinhala_ci,ucs2_general_ci,ucs2_bin,ucs2_unicode_ci,ucs2_icelandic_ci,ucs2_latvian_ci,ucs2_romanian_ci,ucs2_slovenian_ci,ucs2_polish_ci,ucs2_estonian_ci,ucs2_spanish_ci,ucs2_swedish_ci,ucs2_turkish_ci,ucs2_czech_ci,ucs2_danish_ci,ucs2_lithuanian_ci,ucs2_slovak_ci,ucs2_spanish2_ci,ucs2_roman_ci,ucs2_persian_ci,ucs2_esperanto_ci,ucs2_hungarian_ci,ucs2_sinhala_ci,cp866_general_ci,cp866_bin,keybcs2_general_ci,keybcs2_bin,macce_general_ci,macce_bin,macroman_general_ci,macroman_bin,cp852_general_ci,cp852_bin,latin7_estonian_cs,latin7_general_ci,latin7_general_cs,latin7_bin,utf8mb4_general_ci,utf8mb4_bin,utf8mb4_unicode_ci,utf8mb4_icelandic_ci,utf8mb4_latvian_ci,utf8mb4_romanian_ci,utf8mb4_slovenian_ci,utf8mb4_polish_ci,utf8mb4_estonian_ci,utf8mb4_spanish_ci,utf8mb4_swedish_ci,utf8mb4_turkish_ci,utf8mb4_czech_ci,utf8mb4_danish_ci,utf8mb4_lithuanian_ci,utf8mb4_slovak_ci,utf8mb4_spanish2_ci,utf8mb4_roman_ci,utf8mb4_persian_ci,utf8mb4_esperanto_ci,utf8mb4_hungarian_ci,utf8mb4_sinhala_ci,cp1251_bulgarian_ci,cp1251_ukrainian_ci,cp1251_bin,cp1251_general_ci,cp1251_general_cs,utf16_general_ci,utf16_bin,utf16_unicode_ci,utf16_icelandic_ci,utf16_latvian_ci,utf16_romanian_ci,utf16_slovenian_ci,utf16_polish_ci,utf16_estonian_ci,utf16_spanish_ci,utf16_swedish_ci,utf16_turkish_ci,utf16_czech_ci,utf16_danish_ci,utf16_lithuanian_ci,utf16_slovak_ci,utf16_spanish2_ci,utf16_roman_ci,utf16_persian_ci,utf16_esperanto_ci,utf16_hungarian_ci,utf16_sinhala_ci,cp1256_general_ci,cp1256_bin,cp1257_lithuanian_ci,cp1257_bin,cp1257_general_ci,utf32_general_ci,utf32_bin,utf32_unicode_ci,utf32_icelandic_ci,utf32_latvian_ci,utf32_romanian_ci,utf32_slovenian_ci,utf32_polish_ci,utf32_estonian_ci,utf32_spanish_ci,utf32_swedish_ci,utf32_turkish_ci,utf32_czech_ci,utf32_danish_ci,utf32_lithuanian_ci,utf32_slovak_ci,utf32_spanish2_ci,utf32_roman_ci,utf32_persian_ci,utf32_esperanto_ci,utf32_hungarian_ci,utf32_sinhala_ci,binary,geostd8_general_ci,geostd8_bin,cp932_japanese_ci,cp932_bin,eucjpms_japanese_ci,eucjpms_bin",true,"engine-default","dynamic","string","The server's default collation."
"completion_type",,"0-2",true,"engine-default","dynamic","integer","The transaction completion type (0 - default, 1 - chain, 2 - release)"
"concurrent_insert",,"0-2",true,"engine-default","dynamic","integer","Allows INSERT and SELECT statements to run concurrently for MyISAM tables that have no free blocks in the middle of the data file."
"connect_timeout",,"2-31536000",true,"engine-default","dynamic","integer","The number of seconds that the MySQLd  server waits for a connect packet before responding with Bad handshake."
"core-file",,"0,1",false,"engine-default","static","boolean","Write a core file if mysqld dies."
"datadir","/rdsdbdata/db/",,false,"system","static","string","MySQL data directory"
"default_authentication_plugin",,"mysql_native_password,sha256_password",false,"engine-default","static","string","The default authentication plugin"
"default_password_lifetime",,"0-65535",true,"engine-default","dynamic","integer","Defines the global automatic password expiration policy."
"default_storage_engine","InnoDB","InnoDB,MRG_MYISAM,BLACKHOLE,CSV,MEMORY,FEDERATED,ARCHIVE,MyISAM",false,"system","dynamic","string","The default storage engine (table type)."
"default_time_zone",,,false,"engine-default","static","string","Server current time zone"
"default_tmp_storage_engine",,,false,"engine-default","dynamic","string","The default storage engine for TEMPORARY tables."
"default_week_format",,"0-7",true,"engine-default","dynamic","integer","The default mode value to use for the WEEK() function."
"delay_key_write",,"OFF,ON,ALL",true,"engine-default","dynamic","string","Determines when keys are flushed for MyISAM tables"
"delayed_insert_limit",,"1-9223372036854775807",true,"engine-default","dynamic","integer","After inserting delayed_insert_limit delayed rows, the INSERT DELAYED handler thread checks whether there are any SELECT statements pending. If so, it allows them to execute before continuing to insert delayed rows."
"delayed_insert_timeout",,"1-31536000",true,"engine-default","dynamic","integer","How many seconds an INSERT DELAYED handler thread should wait for INSERT statements before terminating."
"delayed_queue_size",,"1-9223372036854775807",true,"engine-default","dynamic","integer","If the queue becomes full, any client that issues an INSERT DELAYED statement waits until there is room in the queue again."
"disabled_storage_engines",,,false,"engine-default","static","string","This variable indicates which storage engines cannot be used to create tables or tablespaces."
"disconnect_on_expired_password",,"0,1",true,"engine-default","static","boolean","Controls how the server handles clients with expired passwords:"
"div_precision_increment",,"0-30",true,"engine-default","dynamic","integer","Number of digits by which to increase the scale of the result of division operations."
"end_markers_in_json",,"0,1",true,"engine-default","dynamic","boolean","Whether optimizer JSON output should add end markers."
"enforce_gtid_consistency",,"0,1",false,"engine-default","static","boolean","When this variable is true, execution is allowed of only those statements that can be logged in a transactionally safe manner."
"eq_range_index_dive_limit",,"0-4294967295",true,"engine-default","dynamic","integer","Number of equality ranges when the optimizer should switch from using index dives to index statistics."
"event_scheduler",,"ON,OFF",true,"engine-default","dynamic","string","Indicates the status of the Event Scheduler"
"explicit_defaults_for_timestamp","1","0,1",true,"system","static","boolean","Needed for 5.6.7"
"flush",,"0,1",false,"engine-default","dynamic","boolean","If ON, the server flushes all changes to disk after each SQL statement."
"flush_time",,"0-31536000",true,"engine-default","dynamic","integer","Frees up resources and synchronize unflushed data to disk. Recommended only on systems with minimal resources."
"ft_boolean_syntax",,,false,"engine-default","dynamic","string","The list of operators supported by boolean full-text searches"
"ft_max_word_len",,"10-84",true,"engine-default","static","integer","Maximum length of the word to be included in a FULLTEXT index."
"ft_min_word_len",,"1-84",true,"engine-default","static","integer","Minimum length of the word to be included in a FULLTEXT index."
"ft_query_expansion_limit",,"0-1000",true,"engine-default","static","integer","Number of top matches to use for full-text searches performed using WITH QUERY EXPANSION."
"ft_stopword_file",,"/dev/null",true,"engine-default","static","string","File for Full Search Stop Words. NULL uses Default, /dev/null to disable Stop Words"
"general_log",,"0,1",true,"engine-default","dynamic","boolean","Whether the general query log is enabled"
"general_log_file","/rdsdbdata/log/general/mysql-general.log",,false,"system","dynamic","string","Location of mysql general log."
"group_concat_max_len",,"4-18446744073709547520",true,"engine-default","dynamic","integer","Maximum allowed result length in bytes for the GROUP_CONCAT()."
"gtid-mode","OFF","OFF,ON",false,"system","static","string","This option specifies whether GTIDs are enabled"
"gtid_executed_compression_period",,"0-4294967295",false,"engine-default","dynamic","integer","Compress the mysql.gtid_executed table each time this many transactions have taken place."
"host_cache_size",,"0-65536",true,"engine-default","dynamic","integer","The size of the internal host cache."
"init_connect",,,true,"engine-default","dynamic","string","String to be executed by the server for each client that connects."
"innodb_adaptive_flushing",,"0,1",true,"engine-default","dynamic","boolean","Enables InnoDB Adaptive Flushing (default=on for RDS)"
"innodb_adaptive_flushing_lwm",,"0-70",true,"engine-default","dynamic","integer","Low water mark representing percentage of redo log capacity at which adaptive flushing is enabled."
"innodb_adaptive_hash_index",,"0,1",true,"engine-default","dynamic","boolean","Whether innodb adaptive hash indexes are enabled or disabled"
"innodb_adaptive_hash_index_parts",,"1-512",true,"engine-default","static","integer","Partitions the adaptive hash index search system."
"innodb_adaptive_max_sleep_delay",,"0-1000000",true,"engine-default","dynamic","integer","Allows InnoDB to automatically adjust the value of innodb_thread_concurrency up or down according to the current workload."
"innodb_autoextend_increment",,"1-1000",true,"engine-default","dynamic","integer","The increment size (in MB) for extending the size of an auto-extending tablespace file when it becomes full"
"innodb_autoinc_lock_mode",,"0-2",true,"engine-default","static","integer","The locking mode to use for generating auto-increment values"
"innodb_buffer_pool_chunk_size",,"1048576-134217728",true,"engine-default","static","integer","Defines the chunk size for online InnoDB buffer pool resizing operations."
"innodb_buffer_pool_dump_at_shutdown",,"0,1",true,"engine-default","dynamic","boolean","Specifies whether to record the pages cached in the InnoDB buffer pool when the MySQL server is shut down."
"innodb_buffer_pool_dump_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately records the pages cached in the InnoDB buffer pool."
"innodb_buffer_pool_dump_pct",,"1-100",true,"engine-default","dynamic","integer","Specifies the percentage of the most recently used pages for each buffer pool to read out and dump."
"innodb_buffer_pool_filename",,,false,"engine-default","dynamic","string","Specifies the file that holds the list of page numbers produced by innodb_buffer_pool_dump_at_shutdown or innodb_buffer_pool_dump_now."
"innodb_buffer_pool_instances",,"1-64",true,"engine-default","static","integer","The number of regions that the InnoDB buffer pool is divided into"
"innodb_buffer_pool_load_abort",,"0,1",false,"engine-default","dynamic","boolean","Interrupts the process of restoring InnoDB buffer pool contents triggered by innodb_buffer_pool_load_at_startup or innodb_buffer_pool_load_now."
"innodb_buffer_pool_load_at_startup",,"0,1",true,"engine-default","static","boolean","Specifies that, on MySQL server startup, the InnoDB buffer pool is automatically warmed up by loading the same pages it held at an earlier time."
"innodb_buffer_pool_load_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately warms up the InnoDB buffer pool by loading a set of data pages, without waiting for a server restart. "
"innodb_buffer_pool_size","{DBInstanceClassMemory*3/4}","5242880-18446744073709551615",true,"system","dynamic","integer","The size in bytes of the memory buffer innodb uses to cache data and indexes of its tables"
"innodb_change_buffer_max_size",,"0-50",true,"engine-default","dynamic","integer","Maximum size for the InnoDB change buffer, as a percentage of the total size of the buffer pool."
"innodb_change_buffering",,"inserts,deletes,purges,changes,all,none",true,"engine-default","dynamic","string","Controls InnoDB change buffering"
"innodb_checksum_algorithm",,"crc32,innodb,none,strict_crc32,strict_innodb,strict_none",true,"engine-default","dynamic","string","Specifies how to generate and verify the checksum stored in each disk block of each InnoDB tablespace."
"innodb_cmp_per_index_enabled",,"0,1",true,"engine-default","dynamic","boolean","Enables per-index compression-related statistics in the INFORMATION_SCHEMA.INNODB_CMP_PER_INDEX table."
"innodb_commit_concurrency",,"0-1000",true,"engine-default","static","integer","The number of threads that can commit at the same time."
"innodb_compression_failure_threshold_pct",,"0-100",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures."
"innodb_compression_level",,"0-9",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures."
"innodb_compression_pad_pct_max",,"0-75",true,"engine-default","dynamic","integer","Specifies the maximum percentage that can be reserved as free space within each compressed page, allowing room to reorganize the data and modification log within the page when a compressed table or index is updated and the data might be recompressed."
"innodb_concurrency_tickets",,"1-4294967295",true,"engine-default","dynamic","integer","Number of times a thread can enter and leave Innodb before it is subject to innodb-thread-concurrency"
"innodb_data_home_dir","/rdsdbdata/db/innodb",,false,"system","static","string","Directory where innodb files are stored"
"innodb_default_row_format",,"DYNAMIC,COMPACT,REDUNDANT",true,"engine-default","dynamic","string","Defines the default row format for InnoDB tables (including user-created InnoDB temporary tables)."
"innodb_disable_sort_file_cache",,"0,1",true,"engine-default","dynamic","boolean","If enabled, this variable disables the operating system file system cache for merge-sort temporary files."
"innodb_fast_shutdown",,"0,1,2",true,"engine-default","dynamic","integer","The InnoDB shutdown mode"
"innodb_file_format",,"Antelope,Barracuda",true,"engine-default","dynamic","string","Sets InnoDB Plug-in default file format."
"innodb_file_per_table","1","0,1",true,"system","dynamic","boolean","Use tablespaces or files for Innodb."
"innodb_fill_factor",,"10-100",true,"engine-default","dynamic","integer","Defines the percentage of space on each B-tree page that is filled during a sorted index build, with the remaining space reserved for future index growth."
"innodb_flush_log_at_timeout",,"0-2700",false,"engine-default","dynamic","integer","Write and flush the logs every N seconds. This setting has an effect only when innodb_flush_log_at_trx_commit has a value of 2."
"innodb_flush_log_at_trx_commit",,"0-2",true,"engine-default","dynamic","integer","Determines Innodb transaction durability"
"innodb_flush_method","O_DIRECT","O_DIRECT",true,"system","static","string","Determines Innodb flush method"
"innodb_flush_neighbors",,"0-2",true,"engine-default","dynamic","integer","Specifies whether flushing a page from the InnoDB buffer pool also flushes other dirty pages in the same extent."
"innodb_flush_sync",,"0,1",true,"engine-default","dynamic","boolean","Ignore the innodb_io_capacity setting to be ignored for bursts of I/O activity that occur at checkpoints."
"innodb_flushing_avg_loops",,"1-1000",false,"engine-default","dynamic","integer","Number of iterations for which InnoDB keeps the previously calculated snapshot of the flushing state, controlling how quickly adaptive flushing responds to changing workloads."
"innodb_force_load_corrupted",,"0,1",false,"engine-default","static","boolean","Lets InnoDB load tables at startup that are marked as corrupted"
"innodb_ft_aux_table",,,true,"engine-default","dynamic","string","Specifies the qualified name of an InnoDB table containing a FULLTEXT index."
"innodb_ft_cache_size",,"0-4294967295",true,"engine-default","static","integer","Size of the cache that holds a parsed document in memory while creating an InnoDB FULLTEXT index."
"innodb_ft_enable_diag_print",,"0,1",true,"engine-default","dynamic","boolean","Whether to enable additional full-text search (FTS) diagnostic output."
"innodb_ft_enable_stopword",,"0,1",true,"engine-default","dynamic","boolean","Specifies that a set of stopwords is associated with an InnoDB FULLTEXT index at the time the index is created."
"innodb_ft_max_token_size",,"10-252",true,"engine-default","static","integer","Maximum length of words that are stored in an InnoDB FULLTEXT index."
"innodb_ft_min_token_size",,"0-16",true,"engine-default","static","integer","Minimum length of words that are stored in an InnoDB FULLTEXT index."
"innodb_ft_num_word_optimize",,"1-4294967295",true,"engine-default","dynamic","integer","Number of words to process during each OPTIMIZE TABLE operation on an InnoDB FULLTEXT index."
"innodb_ft_result_cache_limit",,"1000000-4294967295",true,"engine-default","dynamic","integer","The InnoDB FULLTEXT search (FTS) query result cache limit (defined in bytes) per FTS query or per thread."
"innodb_ft_server_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name."
"innodb_ft_sort_pll_degree",,"1-32",true,"engine-default","static","integer","Number of threads used in parallel to index and tokenize text in an InnoDB FULLTEXT index, when building a search index for a large table."
"innodb_ft_total_cache_size",,"32000000-1600000000",true,"engine-default","static","integer","The total memory allocated, in bytes, for the InnoDB FULLTEXT search index cache for all tables."
"innodb_ft_user_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name."
"innodb_io_capacity",,"100-18446744073709551615",true,"engine-default","dynamic","integer","The maximum number of I/O operations per second that InnoDB will perform."
"innodb_io_capacity_max",,"2000-18446744073709547520",true,"engine-default","dynamic","integer","The limit up to which InnoDB is allowed to extend the innodb_io_capacity setting in case of emergency."
"innodb_large_prefix",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables Innodb Large Prefix for Keys"
"innodb_lock_wait_timeout",,"1-1073741824",true,"engine-default","dynamic","integer","Timeout in seconds an innodb transaction may wait for a row lock before giving up"
"innodb_log_buffer_size","8388608","262144-4294967295",true,"system","static","integer","The size in bytes of the buffer that innodb uses to write to the log files on disk"
"innodb_log_checksums",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables checksums for redo log pages."
"innodb_log_compressed_pages",,"0,1",true,"engine-default","dynamic","boolean","Specifies whether images of re-compressed pages are stored in InnoDB redo logs. "
"innodb_log_file_size","134217728","4194304-274877906944",true,"system","static","integer","The size in bytes of each log file in a log group"
"innodb_log_group_home_dir","/rdsdbdata/log/innodb",,false,"system","static","string","The directory path to the innodb log files"
"innodb_log_write_ahead_size",,"512-16384",true,"engine-default","dynamic","integer","The write-ahead block size for the redo log, in bytes."
"innodb_lru_scan_depth",,"100-18446744073709551615",true,"engine-default","dynamic","integer","A parameter that influences the algorithms and heuristics for the flush operation for the InnoDB buffer pool."
"innodb_max_dirty_pages_pct",,"0-99",true,"engine-default","dynamic","integer","Maximum percentage of dirty pages in the buffer pool"
"innodb_max_dirty_pages_pct_lwm",,"0-99.99",true,"engine-default","dynamic","float","Low water mark representing percentage of dirty pages where preflushing is enabled to control the dirty page ratio."
